,level_0,last_name,Player,index,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,status,retention,base_price_unit,base_price,Player_name,first_name
0,0,Khan,Rashid Khan,0,0,BOWLER,15.0,1950.0,SRH,Gujarat Titans,sold,Draft Pick,0,0,Rashid_Khan,Rashid
1,1,Pandya,Hardik Pandya,1,0,ALL-ROUNDER,15.0,1950.0,MI,Gujarat Titans,sold,Draft Pick,0,0,Hardik_Pandya,Hardik
2,2,Ferguson,Lockie Ferguson,2,2 Cr,BOWLER,10.0,1300.0,KKR,Gujarat Titans,sold,From Auction,Cr,2,Lockie_Ferguson,Lockie
3,3,Tewatia,Rahul Tewatia,3,40 Lakh,ALL-ROUNDER,9.0,1170.0,RR,Gujarat Titans,sold,From Auction,Lakh,40,Rahul_Tewatia,Rahul
4,4,Gill,Shubman Gill,4,0,BATTER,8.0,1040.0,KKR,Gujarat Titans,sold,Draft Pick,0,0,Shubman_Gill,Shubman
5,5,Shami,Mohammad Shami,5,2 Cr,BOWLER,6.25,812.5,PBKS,Gujarat Titans,sold,From Auction,Cr,2,Mohammad_Shami,Mohammad
6,6,Dayal,Yash Dayal,6,20 Lakh,BOWLER,3.2,416.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,20,Yash_Dayal,Yash
7,7,Miller,David Miller,7,1 Cr,BATTER,3.0,390.0,RR,Gujarat Titans,sold,From Auction,Cr,1,David_Miller,David
8,8,Sai_Kishore,R. Sai Kishore,8,20 Lakh,BOWLER,3.0,390.0,CSK,Gujarat Titans,sold,From Auction,Lakh,20,R._Sai_Kishore,R.
9,9,Sadarangani,Abhinav Sadarangani,9,20 Lakh,BATTER,2.6,338.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,20,Abhinav_Sadarangani,Abhinav
10,10,Wade,Matthew Wade,10,2 Cr,WICKETKEEPER,2.4,312.0,Not Participated,Gujarat Titans,sold,From Auction,Cr,2,Matthew_Wade,Matthew
11,11,Joseph,Alzarri Joseph,11,75 Lakh,BOWLER,2.4,312.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,75,Alzarri_Joseph,Alzarri
12,12,Roy,Jason Roy,12,2 Cr,BATTER,2.0,260.0,SRH,Gujarat Titans,sold,From Auction,Cr,2,Jason_Roy,Jason
13,13,Saha,Wriddhiman Saha,13,1 Cr,WICKETKEEPER,1.9,247.0,SRH,Gujarat Titans,sold,From Auction,Cr,1,Wriddhiman_Saha,Wriddhiman
14,14,Yadav,Jayant Yadav,14,1 Cr,ALL-ROUNDER,1.7,221.0,MI,Gujarat Titans,sold,From Auction,Cr,1,Jayant_Yadav,Jayant
15,15,Shankar,Vijay Shankar,15,50 Lakh,ALL-ROUNDER,1.4,182.0,SRH,Gujarat Titans,sold,From Auction,Lakh,50,Vijay_Shankar,Vijay
16,16,Drakes,Dominic Drakes,16,75 Lakh,ALL-ROUNDER,1.1,143.0,CSK,Gujarat Titans,sold,From Auction,Lakh,75,Dominic_Drakes,Dominic
17,17,Aaron,Varun Aaron,17,50 Lakh,BOWLER,0.5,65.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,50,Varun_Aaron,Varun
18,18,Singh,Gurkeerat Singh,18,50 Lakh,ALL-ROUNDER,0.5,65.0,KKR,Gujarat Titans,sold,From Auction,Lakh,50,Gurkeerat_Singh,Gurkeerat
19,19,Ahmad,Noor Ahmad,19,30 Lakh,BOWLER,0.3,39.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,30,Noor_Ahmad,Noor
20,20,Nalkande,Darshan Nalkande,20,20 Lakh,ALL-ROUNDER,0.2,26.0,PBKS,Gujarat Titans,sold,From Auction,Lakh,20,Darshan_Nalkande,Darshan
21,21,Sangwan,Pradeep Sangwan,21,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Gujarat Titans,sold,From Auction,Lakh,20,Pradeep_Sangwan,Pradeep
22,22,Jadeja,Ravindra Jadeja,22,Retained,ALL-ROUNDER,16.0,2080.0,CSK,Chennai Super Kings,sold,Retained,Retained,0,Ravindra_Jadeja,Ravindra
23,23,Chahar,Deepak Chahar,23,2 Cr,BOWLER,14.0,1820.0,CSK,Chennai Super Kings,sold,From Auction,Cr,2,Deepak_Chahar,Deepak
24,24,Dhoni,MS Dhoni,24,Retained,WICKETKEEPER,12.0,1560.0,CSK,Chennai Super Kings,sold,Retained,Retained,0,MS_Dhoni,MS
